C;C^;D;D^;E;F;F^;G;G^;A;A^;B;
0.9694922;0.45484123;0.37041706;0.29547969;0.54688925;0.26792362;0.1829229;0.2865067;0.22588705;0.19617848;0.36327782;1.0;
0.808624;0.45920086;0.43763018;0.3207133;0.48455286;0.32066175;0.28829345;0.5044691;0.4253027;0.25258997;0.4376523;1.0;
0.6904207;0.5187685;0.5791651;0.49023753;0.562573;0.43002325;0.4369907;0.67172;0.75000894;0.38579762;0.58876824;1.0;
0.7760623;0.5801962;0.6559417;0.5849227;0.70647585;0.52618015;0.5386513;0.86452246;1.0;0.6330187;0.7240827;0.9718958;
0.74913615;0.47781798;0.54396886;0.5375979;0.65156627;0.4718473;0.59619015;0.97113246;0.99302375;0.6540985;0.692857;1.0;
0.62752753;0.4294249;0.48347276;0.49990252;0.62611556;0.47067297;0.65242964;0.9312342;0.8538358;0.54020613;0.6528371;1.0;
0.5649722;0.35261106;0.39645827;0.37003604;0.5182818;0.3659344;0.47895086;0.764461;0.7050369;0.41469577;0.5719265;1.0;
0.5336801;0.31259045;0.36769637;0.33770585;0.5033757;0.3306427;0.3929367;0.73346055;0.68124515;0.3566545;0.5442635;1.0;
0.5924158;0.37435192;0.43955094;0.3860053;0.58200413;0.37852004;0.44734892;0.8078202;0.74363893;0.3913536;0.53938717;1.0;
0.5642544;0.34067497;0.4011489;0.34559178;0.58554816;0.3652131;0.42027304;0.7155994;0.6623393;0.34552073;0.49538204;1.0;
0.5642291;0.3413864;0.37578008;0.33277512;0.5810907;0.34973428;0.3737884;0.62416685;0.57358557;0.32106462;0.47022015;1.0;
0.59861416;0.36098582;0.41005844;0.36024582;0.6106854;0.35669658;0.35259548;0.6105481;0.53667;0.3298412;0.46299177;1.0;
0.6450834;0.37366885;0.41661432;0.37369642;0.61692846;0.3792543;0.38013178;0.6086496;0.5221004;0.33356106;0.46947953;1.0;
0.7302919;0.42421466;0.46446183;0.42121157;0.66411793;0.40145588;0.38229826;0.64312667;0.5734884;0.37907535;0.505341;1.0;
0.6492074;0.4188811;0.46345788;0.41061977;0.57981;0.37161222;0.3570368;0.5712816;0.5751917;0.35629445;0.5377363;1.0;
0.6883929;0.44782937;0.48656982;0.4565964;0.603076;0.41501546;0.41954124;0.6841776;0.69689274;0.40116656;0.6228854;1.0;
0.80036634;0.4706362;0.4687409;0.41622025;0.59420353;0.425453;0.52330256;0.9815025;0.8671414;0.47073707;0.57876265;1.0;
0.66350543;0.40091372;0.40393698;0.34421298;0.4431547;0.3942266;0.5840713;1.0;0.7473805;0.41141203;0.4863778;0.8828435;
0.56314355;0.3889148;0.39296;0.30789697;0.39801222;0.35540134;0.5976738;1.0;0.7731159;0.35903186;0.4838645;0.8573649;
0.6483073;0.39692017;0.41524395;0.29300812;0.40491796;0.3443978;0.4993418;1.0;0.8525791;0.3739598;0.4774947;0.96948636;
0.64410806;0.36350137;0.36906064;0.27677393;0.4227314;0.3331516;0.40390363;0.85944456;0.7356095;0.3092853;0.4586444;1.0;
0.60565704;0.34709263;0.37703773;0.2746281;0.41518345;0.33532405;0.41040182;0.7576892;0.69276553;0.31528267;0.43643528;1.0;
0.7236311;0.42478138;0.48264068;0.40671432;0.47731644;0.43131274;0.45567197;0.71446615;0.74360305;0.5096453;0.52487475;1.0;
0.78198636;0.578479;0.63160735;0.53460926;0.66818106;0.6220074;0.68015474;0.84629166;0.8147817;0.72628975;0.649731;1.0;
0.8036675;0.58969706;0.7892031;0.5754858;0.7848858;0.6385562;0.72516936;0.9501172;0.8043729;0.5966844;0.5528957;1.0;
0.65839285;0.40774047;0.68550116;0.4181679;0.62015885;0.4584701;0.5477464;0.784863;0.6621603;0.44202432;0.4439255;1.0;
0.6459129;0.40558425;0.6109453;0.33594272;0.51455736;0.39477348;0.5005677;0.8672529;0.6568085;0.38274586;0.408169;1.0;
