C;C^;D;D^;E;F;F^;G;G^;A;A^;B;baseNote;variation1;variation2;
0.64193875;1.0;0.4337642;0.10210039;0.22440876;0.760686;0.26928416;0.09245058;0.20225427;0.34499767;0.51989925;0.3259147;[A#];[MIN];[];
0.60558033;1.0;0.43561056;0.09781589;0.20207776;0.6964123;0.24328442;0.07975619;0.1961256;0.33689082;0.5012332;0.31544673;[A#];[MIN];[];
0.61112994;1.0;0.4155538;0.08676341;0.18446246;0.64267194;0.2188782;0.080196664;0.17933162;0.3158627;0.49548534;0.30713406;[A#];[MIN];[];
0.5894423;1.0;0.42611563;0.08686704;0.17272693;0.6040492;0.21044867;0.079147816;0.17988841;0.3198741;0.49660727;0.3070459;[A#];[MIN];[];
0.5816959;1.0;0.4273871;0.08061195;0.15469651;0.5567418;0.18922001;0.08056163;0.17360374;0.30002907;0.48048446;0.2937083;[A#];[MIN];[];
0.5892325;1.0;0.4160908;0.0862107;0.13596606;0.4966011;0.17811923;0.0804537;0.18401366;0.29942554;0.46300644;0.28410012;[A#];[MIN];[];
0.59491783;1.0;0.44743833;0.11648689;0.14720415;0.48307353;0.1797347;0.09534283;0.20716691;0.3085739;0.47010514;0.29532963;[A#];[MIN];[];
0.68271387;1.0;0.5463842;0.2687969;0.29151028;0.50959367;0.2860114;0.25109574;0.3323019;0.37963164;0.53686845;0.526158;[A#];[MIN];[];
0.8909288;1.0;0.80857354;0.57952994;0.4886057;0.67674637;0.6161431;0.5454893;0.61656153;0.7447927;0.8277185;0.77093625;[A#];[MIN];[];
1.0;0.9145954;0.72204125;0.5581531;0.54551613;0.83712906;0.7328351;0.5773465;0.70892614;0.90898913;0.9822342;0.8760251;[A#];[MIN];[];
0.9161758;1.0;0.6477655;0.4087422;0.48331648;0.87106884;0.5874901;0.5120913;0.57823044;0.69874924;0.83384705;0.7307031;[A#];[MIN];[];
0.7999614;1.0;0.58427435;0.3029848;0.37806424;0.868125;0.44908586;0.3520415;0.53636694;0.49911723;0.6286516;0.5204652;[A#];[MIN];[];
0.7475487;1.0;0.5659112;0.26695973;0.3428276;0.8287564;0.3515742;0.25381786;0.4496763;0.4403977;0.56791776;0.47914064;[A#];[MIN];[];
0.6961156;1.0;0.54933673;0.23413631;0.31525168;0.79474175;0.33463314;0.21686766;0.45562285;0.4420347;0.5712957;0.45757878;[A#];[MIN];[];
0.6447184;1.0;0.52936184;0.20140646;0.28760365;0.74999785;0.31194714;0.17789985;0.43927106;0.45201427;0.5425694;0.4084439;[A#];[MIN];[];
0.5942748;1.0;0.51873004;0.18408231;0.28331178;0.75009674;0.29125935;0.15349697;0.419381;0.4587446;0.5516677;0.3818804;[A#];[MIN];[];
0.578631;1.0;0.51530904;0.18183947;0.2872513;0.7647275;0.29683533;0.14016032;0.39411858;0.44641417;0.5548708;0.3741962;[A#];[MIN];[];
0.5713433;1.0;0.50436956;0.17271803;0.2905262;0.7931027;0.30377242;0.14159822;0.3842098;0.43564543;0.5519383;0.3605114;[A#];[MIN];[];
0.57113594;1.0;0.49254608;0.16749318;0.3052035;0.8574177;0.3145894;0.14277388;0.36374095;0.41413653;0.52349925;0.34727764;[A#];[MIN];[];
0.55599564;1.0;0.4829993;0.16027534;0.30593905;0.8966688;0.33021343;0.137377;0.34533215;0.39575624;0.49424797;0.32169893;[A#];[MIN];[];
0.5453711;1.0;0.47811943;0.15402503;0.30898672;0.92458546;0.342419;0.1326408;0.34553695;0.39439717;0.48553833;0.31725526;[A#];[MIN];[];
0.53457505;1.0;0.47125393;0.15130138;0.30145207;0.9145712;0.32506013;0.12155991;0.31172672;0.36931857;0.455416;0.30535382;[A#];[MIN];[];
0.542533;1.0;0.46854466;0.1441434;0.2929216;0.88777846;0.30896372;0.11257599;0.29885358;0.33870068;0.42449912;0.2773043;[A#];[MIN];[];
0.52689403;1.0;0.46515137;0.13941814;0.2862421;0.86391324;0.30533198;0.11611537;0.28574288;0.32665715;0.4013249;0.24645384;[A#];[MIN];[];
0.5246694;1.0;0.46330953;0.13329273;0.267154;0.8373381;0.30196723;0.11235159;0.24961777;0.31301907;0.37986487;0.22495805;[A#];[MIN];[];
0.5197323;1.0;0.46457875;0.13326648;0.2611086;0.8305948;0.28983998;0.11046559;0.24838763;0.31080326;0.37224543;0.23002206;[A#];[MIN];[];
0.51442665;1.0;0.4638208;0.12789235;0.2645388;0.8271662;0.2891457;0.10933311;0.23319378;0.3045705;0.36340022;0.22222055;[A#];[MIN];[];
0.51036817;1.0;0.46883252;0.12327987;0.25493625;0.7856511;0.28178358;0.111345515;0.21714781;0.29588565;0.3469011;0.2029745;[A#];[MIN];[];
0.49476558;1.0;0.46854052;0.12192854;0.23713833;0.7042246;0.24799316;0.095845535;0.19861385;0.26588926;0.32036936;0.20042203;[A#];[MIN];[];
0.48009133;1.0;0.46887526;0.112649284;0.21265121;0.65211743;0.23060839;0.0937732;0.18082748;0.25996447;0.31176808;0.18797897;[A#];[MIN];[];
0.47555724;1.0;0.47285473;0.10844923;0.20347717;0.6040609;0.20294051;0.08559766;0.17133257;0.23780264;0.29374218;0.17567585;[A#];[MIN];[];
0.48133078;1.0;0.46190277;0.10589689;0.18360628;0.55411154;0.19116287;0.0791608;0.16148748;0.2184881;0.27353704;0.17196618;[A#];[MIN];[];
0.48363894;1.0;0.46513557;0.105522916;0.17249368;0.5046387;0.17967363;0.07541283;0.14863083;0.22166285;0.2777194;0.1733186;[A#];[MIN];[];
0.4803397;1.0;0.4730796;0.10716564;0.17227772;0.46467403;0.15832567;0.083981685;0.14963609;0.22036123;0.28919098;0.1735719;[A#];[MIN];[];
0.5037149;1.0;0.46863252;0.10251243;0.15932839;0.42433378;0.15179974;0.07672807;0.13512114;0.22299409;0.29572272;0.18478297;[A#];[MIN];[];
0.5060288;1.0;0.4706915;0.10362517;0.1410746;0.3781184;0.13406682;0.06938453;0.12533656;0.22685318;0.31013006;0.19467084;[A#];[MIN];[];
0.4981665;1.0;0.46268278;0.095315844;0.13796818;0.36351898;0.13421035;0.07183049;0.11987564;0.21629794;0.3211557;0.20427163;[A#];[MIN];[];
0.51042545;1.0;0.46520284;0.13324614;0.17814137;0.34772798;0.18493512;0.09752268;0.12665312;0.22486232;0.32787123;0.21404;[A#];[MIN];[];
0.5364627;1.0;0.5559978;0.26449233;0.21069726;0.24864048;0.23513314;0.14861573;0.15906148;0.24435672;0.37005952;0.26229134;[A#];[MIN];[];
0.7950162;1.0;0.6374332;0.44749555;0.41128796;0.51995647;0.5012672;0.32792583;0.34271914;0.41570884;0.5985215;0.61855006;[A#];[MIN];[];
1.0;0.8244877;0.5731026;0.48203763;0.45085114;0.9180786;0.636458;0.46528286;0.54806674;0.5696409;0.60287863;0.7013704;[A#];[MIN];[];
0.8649658;0.8643625;0.49345905;0.33068955;0.373155;1.0;0.46672437;0.34815282;0.541909;0.53977776;0.44529194;0.49758676;[A#];[MIN];[];
0.76697534;0.97849894;0.49824393;0.22637364;0.30987296;1.0;0.37561706;0.23217379;0.5270708;0.48417422;0.3841846;0.3589348;[A#];[MIN];[];
0.6953597;0.9587419;0.46818286;0.20820923;0.30622074;1.0;0.32713652;0.16266415;0.47065604;0.41890025;0.2972113;0.30301368;[A#];[MIN];[];
0.6534459;0.94639385;0.46273065;0.20228098;0.3065166;1.0;0.31274262;0.1329547;0.42824754;0.37856418;0.2598283;0.28882053;[A#];[MIN];[];
0.6445143;0.9757356;0.4630373;0.19549768;0.3087788;1.0;0.31049132;0.13809499;0.42326412;0.37729794;0.2642015;0.2944602;[A#];[MIN];[];
0.64284956;1.0;0.46040654;0.1840207;0.2881259;0.9826822;0.31210393;0.13511312;0.41811836;0.37160483;0.28671616;0.2829512;[A#];[MIN];[];
0.6272022;0.9838264;0.45847526;0.20007716;0.30065256;1.0;0.32076797;0.12349996;0.3840904;0.36125997;0.29289457;0.28513077;[A#];[MIN];[];
0.6193779;0.9904452;0.4610728;0.1986372;0.30025908;1.0;0.32371035;0.12092162;0.37064263;0.36036235;0.2852117;0.27480495;[A#];[MIN];[];
0.5979427;0.98702615;0.4562382;0.17553535;0.29977927;1.0;0.33001652;0.12129491;0.3546779;0.34135285;0.30059972;0.27867624;[A#];[MIN];[];
0.5926445;1.0;0.4605743;0.16269407;0.2971817;0.9860168;0.33415172;0.12016179;0.35978276;0.3691369;0.31175637;0.26253045;[A#];[MIN];[];
0.591864;1.0;0.45897186;0.16783549;0.30149058;0.98648596;0.33990222;0.1300939;0.34738022;0.35219344;0.30695444;0.2533019;[A#];[MIN];[];
0.5925997;1.0;0.45661756;0.17362003;0.2970059;0.9629741;0.33180112;0.12816907;0.34212375;0.34224346;0.2939763;0.24125074;[A#];[MIN];[];
0.5944466;1.0;0.45400822;0.1702347;0.30236942;0.938932;0.3208582;0.11945747;0.32737213;0.33097756;0.27392066;0.23017749;[A#];[MIN];[];
0.58779585;1.0;0.45542777;0.1708409;0.30004284;0.9431518;0.33035493;0.11745641;0.3307197;0.31315982;0.25026482;0.22587396;[A#];[MIN];[];
0.5830925;1.0;0.45571464;0.1669411;0.3002283;0.93663394;0.32147953;0.1215115;0.32204542;0.29979405;0.22184284;0.19267207;[A#];[MIN];[];
0.6037831;1.0;0.43945238;0.17423542;0.3324497;0.98932177;0.36076778;0.1302106;0.3285517;0.30590022;0.23715265;0.20606433;[A#];[MIN];[];
0.639316;1.0;0.47004625;0.24939767;0.3579152;0.87475955;0.4612438;0.21168749;0.37132037;0.35167268;0.2694125;0.26123622;[A#];[MIN];[];
0.6256502;1.0;0.5229312;0.29345953;0.2714243;0.5779643;0.396456;0.27104503;0.42378557;0.38364342;0.3352915;0.33222148;[A#];[MIN];[];
0.94564754;1.0;0.588421;0.5114394;0.49796814;0.8943915;0.60247564;0.4188847;0.42523524;0.43136442;0.53238624;0.5517757;[A#];[MIN];[];
0.9860962;0.9010507;0.49766517;0.4356899;0.42688528;1.0;0.5386482;0.38494325;0.4132813;0.38362265;0.44951582;0.531139;[A#];[MIN];[];
0.8013136;1.0;0.45948982;0.25250015;0.35734007;0.94321257;0.43549687;0.27273533;0.41052398;0.28993204;0.27367795;0.3638434;[A#];[MIN];[];
0.6643476;1.0;0.46728912;0.19373819;0.28281438;0.89026487;0.35028946;0.17660947;0.36548162;0.24266888;0.21939403;0.2773813;[A#];[MIN];[];
0.65862083;1.0;0.45569703;0.17325124;0.28956094;0.87173873;0.2966397;0.12860025;0.3196496;0.2311842;0.21363097;0.2688825;[A#];[MIN];[];
0.65785676;1.0;0.4340904;0.15110055;0.27889705;0.8403614;0.2743768;0.1098084;0.32051733;0.23289168;0.21304838;0.26741144;[A#];[MIN];[];
0.6112385;1.0;0.43666446;0.13898055;0.24433385;0.7668578;0.2514323;0.106131405;0.31597686;0.21992263;0.20440325;0.23407984;[A#];[MIN];[];
0.6249666;1.0;0.45039073;0.15032049;0.25092968;0.7716938;0.2475242;0.11440486;0.3192553;0.25129777;0.22933118;0.26170942;[A#];[MIN];[];
0.64998174;1.0;0.4888328;0.1930994;0.27170798;0.805348;0.304497;0.18802945;0.3888981;0.30155018;0.28577742;0.34239364;[A#];[MIN];[];
0.8113441;1.0;0.63016117;0.46095195;0.49129137;0.9936321;0.55567175;0.3824687;0.59857696;0.61977607;0.5196124;0.48818883;[A#];[MIN];[];
